PR Number,Title,Author,State,Created At,Closed At,Merged,Additions,Deletions,Changed Files,Total Lines Changed
6514,BF/ENH: Replace buggy template finding code for loops/form/counterbalance,TEParsons,closed,2024-05-30T15:51:02Z,2024-06-03T14:46:47Z,TRUE,135,94,6,229
6513,ENH: Implement orientation on TextBox2,TEParsons,closed,2024-05-30T14:08:13Z,2024-05-31T12:40:13Z,TRUE,63,6,15,69
6512,FF: Include current trial in JSON of ExperimentHandler,TEParsons,closed,2024-05-30T13:00:53Z,2024-05-30T14:08:26Z,TRUE,1,0,1,1
6511,BF: TextStim letter height wasn't settable each frame/Routine in JS,TEParsons,closed,2024-05-30T11:43:45Z,2024-05-30T14:07:26Z,TRUE,16,0,1,16
6510,ENH: Add preference to control logging messages shown in the app specifically,TEParsons,closed,2024-05-30T11:02:53Z,2024-06-06T13:14:37Z,TRUE,90,32,8,122
6508,DEMO: Create hdf5_2_csv,KirstenWilliams,closed,2024-05-29T12:03:53Z,2024-06-07T13:21:12Z,TRUE,33,0,1,33
6507,FF: Fixes to TrialHandler2 to make communication via Liaison smoother,TEParsons,closed,2024-05-29T10:19:49Z,2024-05-29T15:52:25Z,TRUE,49,12,4,61
6506,DOCS: Update eyeTracking.rst,KirstenWilliams,closed,2024-05-29T09:49:48Z,2024-05-29T09:50:33Z,TRUE,6,1,1,7
6505,DOCS: Add more detail to plugins link,RebeccaHirst,closed,2024-05-29T09:31:05Z,2024-05-29T09:31:13Z,TRUE,1,1,1,2
6504,DOCS: change location of plugins link,RebeccaHirst,closed,2024-05-29T09:05:35Z,2024-05-29T09:05:42Z,TRUE,5,1,1,6
6503,NF: Added folder for plugin configuration files to user prefs directory,mdcutone,closed,2024-05-27T17:02:08Z,2024-06-10T14:30:33Z,TRUE,39,0,2,39
6502,FF: Prevent plugins from loading without restart first,mdcutone,closed,2024-05-27T16:17:14Z,2024-06-10T14:30:06Z,TRUE,47,20,1,67
6501,BF: update param controls to fetch loop templates,RebeccaHirst,closed,2024-05-24T16:55:24Z,2024-05-30T15:45:46Z,FALSE,2,1,1,3
6500,ENH: Save dwell times from roi component,RebeccaHirst,closed,2024-05-24T14:33:25Z,2024-05-30T14:28:08Z,TRUE,5,0,1,5
6499,Merged release branch updates into dev,peircej,closed,2024-05-24T11:37:14Z,2024-06-03T15:29:54Z,TRUE,338,43,12,381
6498,Update documentation.rst,KirstenWilliams,closed,2024-05-24T10:46:57Z,2024-05-24T11:32:51Z,TRUE,1,1,1,2
6497,PKG: better help for missing standalone packages,peircej,closed,2024-05-23T13:44:32Z,2024-05-23T13:44:49Z,TRUE,19,12,1,31
6496,Packaging updates for CI builds,peircej,closed,2024-05-23T11:09:15Z,2024-05-23T11:10:42Z,TRUE,35,15,4,50
6495,Merging updates (version bump 2024.1.5),peircej,closed,2024-05-23T11:07:19Z,2024-05-23T11:10:12Z,TRUE,2,2,2,4
6493,PKG: uninstall legacy installation from `%appdata%`,shun2wang,closed,2024-05-23T07:53:01Z,2024-05-23T08:13:55Z,FALSE,2,0,2,2
6492,ENH: Removed setPavloviaUser methods from builder.py and coder.py,MarkellaEgglezou,closed,2024-05-22T21:29:00Z,2024-06-07T13:21:49Z,TRUE,0,8,2,8
6491,Update documentation.rst,KirstenWilliams,closed,2024-05-22T15:18:55Z,2024-05-22T15:19:38Z,TRUE,1,1,1,2
6490,Add hyperlink to plugins page,KirstenWilliams,closed,2024-05-22T15:14:35Z,2024-05-22T15:15:32Z,FALSE,38,20,35,58
6489,PKG: version bump 2024.2.0dev1,peircej,closed,2024-05-22T14:53:16Z,2024-05-22T14:53:22Z,TRUE,2,2,2,4
6488,ENH: Allow microphone volume sampling even when buffer is full,TEParsons,closed,2024-05-22T14:48:43Z,2024-06-06T16:49:11Z,TRUE,54,6,1,60
6487,Update documentation.rst,KirstenWilliams,closed,2024-05-22T12:32:07Z,2024-05-22T14:47:35Z,TRUE,1,1,1,2
6486,ENH: Materialized setPavloviaUser method in coder.py,MarkellaEgglezou,closed,2024-05-22T11:56:44Z,2024-05-22T12:48:13Z,FALSE,28,2,1,30
6485,ENH: Materialized setPavloviaUser method in builder.py,MarkellaEgglezou,closed,2024-05-22T11:50:17Z,2024-05-22T12:47:31Z,FALSE,22,2,1,24
6484,FF: Typo in photodiode find procedure label,TEParsons,closed,2024-05-22T11:27:52Z,2024-05-22T11:28:01Z,TRUE,1,1,1,2
6483,FF: Fix label in photodiode find procedure,TEParsons,closed,2024-05-22T11:17:31Z,2024-05-22T11:17:37Z,TRUE,3,1,1,4
6482,FF: Allow up to 250ms for messages to come in from photodiodes,TEParsons,closed,2024-05-22T11:07:15Z,2024-05-22T11:07:26Z,TRUE,31,20,1,51
6481,Add hyperlink to documentation,KirstenWilliams,closed,2024-05-22T10:18:59Z,2024-05-22T10:31:15Z,TRUE,1,0,1,1
6480,DOC: Eye tracking docs and accompanying image,KirstenWilliams,closed,2024-05-22T09:34:52Z,2024-05-22T09:37:13Z,TRUE,20,3,2,23
6479,BF: allow getKeys() to return the same key pressed multiple times,mh105,closed,2024-05-20T21:08:08Z,2024-05-22T13:25:14Z,TRUE,59,31,3,90
6478,BF: allow getKeys() to return the same key pressed multiple times,mh105,closed,2024-05-20T18:03:18Z,2024-05-20T21:03:53Z,FALSE,277,19,10,296
6477,ENH: Add method to check when response device has unfinished messages,TEParsons,closed,2024-05-20T11:39:42Z,2024-05-20T15:52:45Z,TRUE,27,22,2,49
6476,DOC: Arabic translation,Ahmad-Abudoush,closed,2024-05-19T12:04:21Z,2024-05-22T15:16:12Z,TRUE,14,5,1,19
6474,BF: Allow meaningful comparisons of KeyPress object instances with the same name,mh105,closed,2024-05-17T17:26:37Z,2024-05-20T12:47:06Z,FALSE,21,8,1,29
6473,SYS: Merge release into dev,TEParsons,closed,2024-05-17T15:20:31Z,2024-05-17T16:21:52Z,TRUE,262,87,14,349
6472,TEST: Add test that keypresses are cleared at Routine start,TEParsons,closed,2024-05-17T11:05:32Z,2024-05-17T16:06:35Z,TRUE,232,1,4,233
6471,BF: clear keys to initialize keyboard when starting a routine,mh105,closed,2024-05-17T04:09:10Z,2024-05-17T09:47:04Z,TRUE,1,1,1,2
6470,ENH: Add method to continuously dispatch hardware messages for x seconds,TEParsons,closed,2024-05-16T16:20:44Z,2024-05-16T17:53:51Z,TRUE,26,6,2,32
6469,FF: Add trial column names to data file when advancing,TEParsons,closed,2024-05-16T14:15:33Z,2024-05-16T16:46:55Z,TRUE,3,0,1,3
6468,"BF: Fix ""Stop only"" issue regardless of Component order",TEParsons,closed,2024-05-16T10:08:25Z,2024-05-16T11:19:17Z,TRUE,4,1,1,5
6467,BF: Only change Mouse visibility if explicitly asked to,TEParsons,closed,2024-05-16T09:59:58Z,2024-05-16T10:40:12Z,TRUE,5,4,1,9
6466,BF: Unregister event monitors iohub calibration,mh105,closed,2024-05-16T00:28:35Z,2024-06-07T13:41:27Z,TRUE,3,4,1,7
6465,"BF: hide that visible mouse, please",mh105,closed,2024-05-16T00:00:00Z,2024-05-16T09:56:00Z,TRUE,1,1,1,2
6464,FF: Remove call to `site.main()` on MacOS,mdcutone,closed,2024-05-15T16:26:59Z,2024-05-16T13:09:37Z,TRUE,27,5,3,32
6463,BF: fix an issue with etRecord component for Stop Only,mh105,closed,2024-05-15T15:12:37Z,2024-05-16T10:03:49Z,TRUE,1,1,1,2
6462,BF: Param updates control should be enabled when there's a Static Component,TEParsons,closed,2024-05-15T10:17:09Z,2024-05-15T11:53:11Z,TRUE,1,1,1,2
6461,"BF: should not fix units=""pix"" when drawing TargetStim during calibration",mh105,closed,2024-05-14T23:21:32Z,2024-06-03T17:14:10Z,FALSE,295,106,18,401
6460,BF: fix an issue with etRecord component for Stop Only,mh105,closed,2024-05-14T03:39:33Z,2024-05-15T15:13:32Z,FALSE,1,1,1,2
6458,BF: KeyboardComponent allowed keys from spreadsheet caused namespace errors,TEParsons,closed,2024-05-13T17:10:29Z,2024-05-14T08:30:36Z,TRUE,16,3,1,19
6457,ENH: Improvements to start/stop behaviour of Eyetracker Record Components,TEParsons,closed,2024-05-13T11:12:36Z,2024-05-29T09:05:35Z,FALSE,78,52,3,130
6456,BF: show start parameter for stop only eyetracker components,RebeccaHirst,closed,2024-05-10T15:18:39Z,2024-05-29T09:05:34Z,FALSE,0,8,1,8
6454,BF: Kill listener loop once there are no devices attached,TEParsons,closed,2024-05-09T17:09:18Z,2024-05-09T17:57:57Z,TRUE,3,0,1,3
6451,Fixed eyetracker calibration target units (height -> pix),peircej,closed,2024-05-09T08:49:27Z,2024-05-09T09:26:27Z,TRUE,2,3,2,5
