"Window","Contributor_Type","PR_Category","PR_Count"
"Window 1","External","BF",7
"Window 1","External","ENH",4
"Window 1","External","FF",2
"Window 1","External","RF",1
"Window 1","External","Unlabeled",11
"Window 1","Staff","BF",147
"Window 1","Staff","DOC",2
"Window 1","Staff","ENH",44
"Window 1","Staff","FF",21
"Window 1","Staff","NF",34
"Window 1","Staff","RF",12
"Window 1","Staff","TEST",16
"Window 1","Staff","Unlabeled",58
"Window 2","External","BF",46
"Window 2","External","DOC",7
"Window 2","External","ENH",14
"Window 2","External","FF",11
"Window 2","External","NF",1
"Window 2","External","RF",2
"Window 2","External","TEST",1
"Window 2","External","Unlabeled",37
"Window 2","Staff","BF",93
"Window 2","Staff","DOC",3
"Window 2","Staff","ENH",61
"Window 2","Staff","FF",64
"Window 2","Staff","NF",18
"Window 2","Staff","RF",10
"Window 2","Staff","TEST",8
"Window 2","Staff","Unlabeled",102
